SITE_NO,TSITE_NO,SHORT_NAME,RSQA_STUDY,STATION_NM,ECO_LAT,ECO_LONG,r50_EcoReach_km,r50_Area_km2,r50_DevelopedHigh2011,r50_DevelopedMed2011,r50_DevelopedLow2011,r50_DevelopedOpen2011,r50_BarrenLand2011,r50_DeciduousForest2011,r50_EvergreenForest2011,r50_MixedForest2011,r50_GrasslandHerb2011,r50_ShrubScrub2011,r50_CultivatedCrops2011,r50_PastureHay2011,r50_WoodyWetlands2011,r50_EmerHerbWetlands2011,r50_OpenWater2011,r50_SumAreaNLCD2011,r50_UrbanLMH2011,r50_CanopyCover2011,r50_Imperviousness2011,r50_Dev_CommServices2012,r50_Dev_IndusMilitary2012,r50_Dev_MajorTransp2012,r50_Dev_Other2012,r50_Dev_Recreation2012,r50_Dev_ResidHigh2012,r50_Dev_ResidLowMed2012,r50_SemiDev_AnthroOth2012,r50_SemiDev_UrbHigh2012,r50_SemiDev_UrbLowMed2012,r50_Prod_Crops2012,r50_Prod_GrazingPot2012,r50_Prod_Mining2012,r50_Prod_PastureHay2012,r50_LowUse2012,r50_VeryLowUse_Conserv2012,r50_Water2012,r50_Wetlands2012,r50_SumAreaNWALT2012,r50_Total_Urban,r50_Total_Ag,r50_HousDensityBLK2010,r50_PopDensityBLK2010,r50_RoadDensity2013,r50_RoadDensity2014,r50_RoadDensity2015,r50_RoadDensity2016,r50_RoadDensity2017
11153650,T11153650,CA_LlagasGilroy,CSQA,LLAGAS C NR GILROY,36.98748,-121.52841,2.340,0.237,0.37,3.75,26.22,56.55,0.00,0.00,0.00,0.00,0.00,0.00,11.24,0.00,1.87,0.00,0.00,240300,,29.95,14.90,18.18,0.00,3.03,33.33,0.00,0.00,0.00,,0.00,0.00,27.27,0.00,,15.15,3.03,,0.00,0.00,237600,54.55,42.42,11.939,31.245,,,,,3509.796
11159000,T11159000,CA_PajaroChit,CSQA,PAJARO R A CHITTENDEN CA,36.90024,-121.597743,3.487,0.353,0.00,0.26,2.81,31.20,0.00,0.00,0.00,3.07,2.30,10.23,0.00,0.00,48.59,1.53,0.00,351900,,61.16,2.78,0.00,0.00,5.00,20.00,0.00,0.00,0.00,,0.00,0.00,2.00,0.00,,0.00,73.00,,0.00,0.00,360000,25.00,2.00,12.023,32.587,,,,,970.400
11159200,T11159200,CA_Corralitos,CSQA,CORRALITOS C A FREEDOM CA,36.93932,-121.770637,1.850,0.189,0.00,1.42,8.02,44.81,0.00,0.00,5.19,0.00,0.00,0.00,40.57,0.00,0.00,0.00,0.00,190800,,38.28,6.61,5.88,0.00,0.00,3.92,0.00,25.49,31.37,,0.00,3.92,29.41,0.00,,0.00,0.00,,0.00,0.00,183600,66.67,29.41,233.758,832.619,,,,,1131.193
11159500,T11159500,CA_PajaroWat,CSQA,PAJARO R A WATSONVILLE CA,36.904472,-121.752143,3.516,0.355,0.00,1.03,2.31,9.77,0.00,0.00,0.00,0.00,8.48,2.57,22.37,0.00,0.00,53.47,0.00,350100,,5.75,2.00,4.08,0.00,0.00,4.08,2.04,2.04,7.14,,13.27,16.33,32.65,7.14,,0.00,11.22,,0.00,0.00,352800,32.65,39.80,130.334,614.858,,,,,466.808
11164500,T11164500,CA_SanFranStan,CSQA,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA,37.42336,-122.18962,1.989,0.202,0.00,0.43,6.90,51.72,0.00,0.00,2.59,5.60,5.17,0.43,0.00,0.00,27.16,0.00,0.00,208800,,62.70,4.42,0.00,0.00,0.00,15.25,25.42,1.69,1.69,,38.98,0.00,0.00,0.00,,0.00,3.39,,0.00,13.56,212400,83.05,0.00,219.634,435.920,,,,,3916.012
11169025,T11169025,CA_GuadalupeA,CSQA,GUADALUPE R ABV HWY 101 A SAN JOSE CA,37.374321,-121.933164,2.609,0.264,3.01,25.08,43.14,26.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.68,0.00,0.00,269100,,14.65,34.88,0.00,0.00,97.22,0.00,0.00,0.00,0.00,,2.78,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,259200,100.00,0.00,0.000,1.679,,,,,7317.011
11169800,T11169800,CA_CoyoteGil,CSQA,COYOTE C NR GILROY CA,37.07225,-121.48807,2.438,0.248,0.00,0.35,5.65,22.26,0.00,0.00,2.12,11.31,1.77,15.90,24.73,0.00,13.43,2.47,0.00,254700,,26.28,3.48,0.00,0.00,0.00,2.56,2.56,0.00,0.00,,0.00,0.00,16.67,0.00,,0.00,78.21,,0.00,0.00,280800,5.13,16.67,0.191,0.491,,,,,5961.622
11176900,T11176900,CA_ArroyoDeLaLa,CSQA,ARROYO DE LA LAGUNA A VERONA CA,37.62675,-121.88276,3.019,0.304,0.00,0.60,9.85,46.57,0.00,0.00,0.00,26.57,12.84,3.28,0.00,0.00,0.00,0.00,0.30,301500,,47.94,7.06,0.00,0.00,0.00,45.12,7.32,2.44,1.22,,24.39,0.00,0.00,3.66,,0.00,15.85,,0.00,0.00,295200,80.49,3.66,139.332,337.644,,,,,3351.250
11179100,T11179100,CA_Alameda,CSQA,ALAMEDA C NR FREMONT CA,37.566525,-122.001434,3.219,0.327,1.62,23.51,33.24,11.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.54,333000,,0.00,28.94,15.91,0.00,10.23,3.41,1.14,29.55,0.00,,3.41,0.00,0.00,0.00,,0.00,0.00,,36.36,0.00,316800,63.64,0.00,41.233,94.584,,,,,4646.519
11180900,T11180900,CA_Crow,CSQA,CROW C NR HAYWARD CA,37.70479,-122.043991,1.435,0.146,0.00,1.82,6.67,61.21,0.00,0.00,10.91,19.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148500,,65.09,6.30,0.00,0.00,28.95,0.00,0.00,7.89,18.42,,44.74,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,136800,100.00,0.00,237.007,589.428,,,,,9454.349
11181000,T11181000,CA_SanLorenzo,CSQA,SAN LORENZO C A HAYWARD CA,37.685123,-122.065361,1.688,0.172,3.16,13.16,23.16,32.63,0.00,0.00,22.11,4.21,0.00,1.58,0.00,0.00,0.00,0.00,0.00,171000,,48.85,22.22,0.00,0.00,2.22,0.00,20.00,42.22,0.00,,33.33,0.00,0.00,0.00,,0.00,0.00,,2.22,0.00,162000,97.78,0.00,1366.038,3054.968,,,,,5601.090
11181008,T11181008,CA_Castro,CSQA,CASTRO VALLEY C A HAYWARD CA,37.67992,-122.080416,1.157,0.118,9.49,41.61,31.39,17.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123300,,22.60,46.12,22.58,0.00,0.00,0.00,6.45,70.97,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,111600,100.00,0.00,1617.239,3542.345,,,,,13354.129
11182400,T11182400,CA_ArroyoMart,CSQA,ARROYO DEL HAMBRE A MARTINEZ CA,38.00345,-122.12969,1.580,0.159,4.12,21.76,37.06,37.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153000,,24.95,33.71,4.44,0.00,0.00,4.44,0.00,91.11,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,162000,100.00,0.00,1391.037,2571.576,,,,,7623.589
11182500,T11182500,CA_SanRamonSan,CSQA,SAN RAMON C A SAN RAMON CA,37.772875,-121.993408,1.192,0.122,0.00,6.67,4.44,20.74,0.00,0.00,5.19,45.19,9.63,8.15,0.00,0.00,0.00,0.00,0.00,121500,,53.59,6.75,14.29,0.00,8.57,5.71,0.00,5.71,0.00,,0.00,0.00,0.00,0.00,,0.00,65.71,,0.00,0.00,126000,34.29,0.00,236.266,579.545,,,,,5158.889
11456500,T11456500,CA_ConnOak,CSQA,CONN C NR OAKVILLE CA,38.447105,-122.380261,2.165,0.219,0.00,0.79,4.33,5.91,0.00,0.00,0.00,0.00,0.00,2.36,82.68,0.00,3.94,0.00,0.00,228600,,0.33,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,98.36,1.64,,0.00,0.00,,0.00,0.00,219600,0.00,100.00,4.429,6.287,,,,,692.428
11458300,T11458300,CA_NapaNapa,CSQA,NAPA C A NAPA,38.30189,-122.303937,1.590,0.163,0.00,4.42,20.44,63.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.60,0.00,0.00,162900,,51.13,14.09,2.27,0.00,2.27,0.00,0.00,86.36,0.00,,9.09,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,158400,100.00,0.00,587.843,1503.189,,,,,659.316
11458500,T11458500,CA_SonomaAgua,CSQA,SONOMA C A AGUA CALIENTE CA,38.323888,-122.494638,2.177,0.221,0.00,4.05,2.83,27.94,0.00,0.00,0.00,4.05,6.48,2.02,21.86,0.00,27.94,2.83,0.00,222300,,35.47,5.26,5.08,0.00,0.00,10.17,0.00,3.39,11.86,,0.00,33.90,25.42,0.00,,0.00,10.17,,0.00,0.00,212400,30.51,25.42,58.730,138.510,,,,,3.869
11459500,T11459500,CA_Novato,CSQA,NOVATO C A NOVATO CA,38.107225,-122.578994,1.668,0.164,0.55,20.99,25.41,53.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162900,,21.24,26.13,19.15,0.00,0.00,0.00,25.53,10.64,44.68,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,169200,100.00,0.00,555.868,1287.000,,,,,4436.084
11460000,T11460000,CA_Corte,CSQA,CORTE MADERA C A ROSS CA,37.962972,-122.557129,1.669,0.169,1.05,17.80,13.09,68.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171900,,46.79,21.74,25.53,0.00,14.89,0.00,6.38,17.02,36.17,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,169200,100.00,0.00,509.779,1287.992,,,,,10696.031
11465660,T11465660,CA_Copeland,CSQA,COPELAND C A ROHNERT PARK CA,38.343185,-122.701146,1.173,0.122,2.21,52.21,27.21,18.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122400,,4.00,45.98,11.11,0.00,0.00,2.78,2.78,83.33,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,129600,100.00,0.00,1761.935,3573.601,,,,,23446.916
11465690,T11465690,CA_Colgan,CSQA,COLGAN C NR SANTA ROSA CA,38.40213,-122.73283,0.956,0.095,2.86,36.19,35.24,16.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,0.00,0.00,94500,,0.00,39.60,20.83,41.67,0.00,0.00,0.00,4.17,33.33,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,86400,100.00,0.00,324.904,1055.228,,,,,10055.335
11466170,T11466170,CA_Matanzas,CSQA,MATANZAS C A SANTA ROSA CA,38.43883,-122.7021,1.756,0.180,1.55,16.49,30.93,40.72,0.00,0.00,0.00,1.55,0.00,1.03,0.00,0.00,7.73,0.00,0.00,174600,,40.09,25.30,14.29,0.00,4.08,2.04,8.16,69.39,0.00,,2.04,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,176400,100.00,0.00,510.361,1187.640,,,,,10199.538
11466200,T11466200,CA_SantaSanta,CSQA,SANTA ROSA C A SANTA ROSA CA,38.43628,-122.72688,2.160,0.220,14.40,37.20,35.20,13.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225000,,13.18,50.39,60.00,0.00,10.00,5.00,10.00,13.33,1.67,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,216000,100.00,0.00,359.080,805.294,,,,,9737.812
11466320,T11466320,CA_SantaWillow,CSQA,SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA,38.445235,-122.806635,2.295,0.235,0.00,0.00,7.72,40.93,0.00,0.00,0.00,0.00,3.47,0.00,47.88,0.00,0.00,0.00,0.00,233100,,5.03,5.27,0.00,0.00,0.00,0.00,0.00,0.00,18.46,,0.00,0.00,75.38,0.00,,0.00,4.62,,1.54,0.00,234000,18.46,75.38,9.405,22.226,,,,,9889.098
351436120405201,T351436120405201,CA_SanLObispo,CSQA,SAN LUIS OBISPO C A LOS OSOS VLY RD NR SAN LUIS OB,35.24134,-120.68244,2.030,0.206,0.44,5.75,22.12,59.73,0.00,0.00,2.21,2.21,2.21,0.00,4.42,0.88,0.00,0.00,0.00,203400,,23.17,15.13,34.48,6.90,1.72,6.90,0.00,46.55,0.00,,3.45,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,208800,100.00,0.00,394.566,848.584,,,,,3016.436
351725120395901,T351725120395901,CA_Stenner,CSQA,STENNER C A MURRAY AVE A SAN LUIS OBISPO CA,35.29211,-120.66701,1.363,0.140,1.30,9.09,20.78,29.87,0.00,0.00,8.44,9.09,0.00,7.14,9.09,0.00,5.19,0.00,0.00,138600,,28.81,15.70,26.83,0.00,4.88,0.00,0.00,24.39,0.00,,9.76,21.95,12.20,0.00,,0.00,0.00,,0.00,0.00,147600,65.85,12.20,1863.844,3355.026,,,,,5257.813
352127120484501,T352127120484501,CA_Chorro,CSQA,CHORRO C A CHORRO C RD NR MORRO BAY CA,35.35755,-120.81223,2.021,0.205,0.00,2.18,9.61,14.41,0.00,0.00,0.00,0.00,9.17,10.04,24.45,0.87,3.49,25.76,0.00,206100,,9.36,5.86,1.92,0.00,9.62,3.85,0.00,0.00,1.92,,0.00,1.92,23.08,17.31,,7.69,32.69,,0.00,0.00,187200,17.31,48.08,9.758,21.219,,,,,1757.377
352934120395501,T352934120395501,CA_Atascadero,CSQA,ATASCADERO C A W MALL BR A ATASCADERO CA,35.49278,-120.66498,1.700,0.172,2.07,18.65,26.94,50.78,0.00,0.00,0.00,0.00,0.00,1.55,0.00,0.00,0.00,0.00,0.00,173700,,19.25,25.69,34.78,0.00,10.87,2.17,0.00,0.00,50.00,,0.00,2.17,0.00,0.00,,0.00,0.00,,0.00,0.00,165600,97.83,0.00,301.711,752.153,,,,,8611.700
363608121255201,T363608121255201,CA_ChuChuChu,CSQA,CHUALAR C A CHUALAR CANYON RD NR CHUALAR CA,36.60181,-121.43303,1.768,0.181,0.00,0.00,0.50,29.70,0.00,0.00,11.39,0.00,27.23,1.49,29.70,0.00,0.00,0.00,0.00,181800,,8.07,1.16,0.00,0.00,0.00,3.77,0.00,0.00,0.00,,0.00,0.00,18.87,3.77,,0.00,73.58,,0.00,0.00,190800,3.77,22.64,15.741,10.924,,,,,12345.515
364003121373501,T364003121373501,CA_Alisal,CSQA,ALISAL C A FAIRVIEW AVE NR SALINAS CA,36.66766,-121.62629,2.022,0.206,0.87,18.18,26.84,48.92,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,0.00,0.00,0.00,207900,,0.00,25.28,0.00,11.29,45.16,0.00,20.97,14.52,0.00,,0.00,0.00,6.45,0.00,,1.61,0.00,,0.00,0.00,223200,91.94,8.06,354.047,1631.856,,,,,1816.546
364138121373701,T364138121373701,CA_GabilanEastL,CSQA,GABILAN C AB E LAUREL DR NR SALINAS CA,36.69398,-121.62717,2.032,0.205,0.90,11.71,25.68,48.65,0.00,0.00,0.00,0.00,0.00,0.00,13.06,0.00,0.00,0.00,0.00,199800,,14.07,20.55,3.45,0.00,0.00,0.00,29.31,67.24,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,208800,100.00,0.00,433.602,1345.405,,,,,6902.735
364155121363901,T364155121363901,CA_Natividad,CSQA,NATIVIDAD C NR SALINAS CA,36.6968,-121.6124,1.414,0.144,0.00,12.35,24.07,43.83,0.00,0.00,0.00,0.00,0.00,0.00,19.75,0.00,0.00,0.00,0.00,145800,,5.01,19.33,0.00,0.00,0.00,0.00,85.00,2.50,0.00,,0.00,0.00,2.50,0.00,,10.00,0.00,,0.00,0.00,144000,87.50,12.50,324.666,1227.747,,,,,2207.753
365634121264001,T365634121264001,CA_Tequisquita,CSQA,TEQUISQUITA SLOUGH A SHORE RD NR DUNNEVILLE CA,36.94428,-121.44555,2.479,0.250,0.00,0.00,0.00,2.89,0.00,0.00,0.00,0.00,0.00,0.36,63.54,33.21,0.00,0.00,0.00,249300,,0.64,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,64.71,0.00,,35.29,0.00,,0.00,0.00,244800,0.00,100.00,3.757,11.527,,,,,411.289
365718121444301,T365718121444301,CA_NoNamePaul,CSQA,UNNAMED TRIB A PAULSEN RD NR FREEDOM CA,36.955181,-121.745631,1.631,0.166,0.55,0.00,21.86,45.90,0.00,0.00,0.00,0.00,10.38,0.00,21.31,0.00,0.00,0.00,0.00,164700,,6.86,11.35,2.22,0.00,0.00,20.00,0.00,0.00,40.00,,15.56,0.00,22.22,0.00,,0.00,0.00,,0.00,0.00,162000,77.78,22.22,38.746,163.618,,,,,5542.871
365736121250801,T365736121250801,CA_Pacheco,CSQA,PACHECO C A SAN FELIPE RD NR DUNNEVILLE CA,36.959478,-121.417715,2.597,0.263,0.00,0.00,2.05,2.39,0.00,0.00,0.00,0.00,0.00,0.00,95.22,0.34,0.00,0.00,0.00,263700,,26.75,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,100.00,0.00,,0.00,0.00,,0.00,0.00,262800,0.00,100.00,14.727,41.300,,,,,4664.148
365955121350601,T365955121350601,CA_UvasMiller,CSQA,UVAS C A MILLER AVE A GILROY CA,36.996201,-121.582648,2.252,0.229,0.00,0.39,13.39,53.54,0.00,0.00,0.00,0.00,1.57,0.00,0.00,9.84,16.93,4.33,0.00,228600,,13.25,9.26,7.81,14.06,0.00,0.00,18.75,1.56,1.56,,0.00,7.81,1.56,1.56,,25.00,20.31,,0.00,0.00,230400,43.75,28.13,0.000,0.000,,,,,1398.741
370512121361901,T370512121361901,CA_LlagasMartin,CSQA,LLAGAS C A SAN MARTIN AVE A SAN MARTIN CA,37.081146,-121.601744,1.866,0.189,0.48,4.81,24.04,61.06,0.00,0.00,0.00,0.00,9.62,0.00,0.00,0.00,0.00,0.00,0.00,187200,,0.08,16.81,7.02,0.00,10.53,0.00,0.00,0.00,70.18,,0.00,5.26,0.00,0.00,,0.00,7.02,,0.00,0.00,205200,87.72,0.00,109.462,401.070,,,,,3902.010
371554121474101,T371554121474101,CA_CoyoteCoyote,CSQA,COYOTE C A COYOTE RD NR SAN JOSE CA,37.26421,-121.79258,2.774,0.281,0.00,5.36,31.86,39.75,0.00,0.00,0.00,0.32,1.58,0.00,0.00,0.00,21.14,0.00,0.00,285300,,34.67,17.20,1.23,7.41,4.94,0.00,64.20,0.00,0.00,,22.22,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,291600,100.00,0.00,1.088,2.334,,,,,1665.664
371620122005801,T371620122005801,CA_Saratoga,CSQA,SARATOGA C A BRAEMAR DR A SARATOGA CA,37.271017,-122.017929,1.418,0.144,0.00,2.50,26.25,71.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,144000,,47.02,14.26,17.95,0.00,5.13,0.00,0.00,76.92,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,140400,100.00,0.00,512.060,1487.153,,,,,5163.519
371738121555901,T371738121555901,CA_LosGatos,CSQA,LOS GATOS C A E HAMILTON AVE NR CAMPBELL CA,37.293595,-121.933,2.076,0.210,4.33,28.14,48.92,18.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207900,,21.47,39.97,38.18,0.00,58.18,0.00,0.00,3.64,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,198000,100.00,0.00,344.814,634.894,,,,,4281.747
371814121525601,T371814121525601,CA_GuadalupeB,CSQA,GUADALUPE R A WILLOW GLEN WAY NR SAN JOSE CA,37.30369,-121.88224,2.340,0.236,1.17,28.52,40.23,30.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230400,,28.15,35.55,56.45,0.00,16.13,1.61,9.68,16.13,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,223200,100.00,0.00,723.774,1569.904,,,,,11957.096
372303121542901,T372303121542901,CA_CoyoteChar,CSQA,COYOTE C BL CHARCOT AVE NR SAN JOSE CA,37.38517,-121.908953,2.908,0.294,1.23,22.84,29.94,45.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291600,,24.11,28.81,7.23,6.02,7.23,0.00,78.31,1.20,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,298800,100.00,0.00,45.326,138.736,,,,,5800.808
372500122081201,T372500122081201,CA_Matadero,CSQA,MATADERO C A JOSINA AVE A PALO ALTO CA,37.41744,-122.13619,1.208,0.124,0.75,8.27,49.62,41.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119700,,15.50,25.59,38.89,0.00,0.00,0.00,13.89,30.56,16.67,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,129600,100.00,0.00,497.577,1313.567,,,,,6231.887
372716122080801,T372716122080801,CA_SanFranPalo,CSQA,SAN FRANCISQUITO C DS OF NEWELL RD BR A PALO ALTO,37.454207,-122.136377,1.999,0.202,0.45,10.36,33.78,55.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,199800,,40.13,22.64,8.33,0.00,0.00,13.33,10.00,23.33,45.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,216000,100.00,0.00,862.008,2027.056,,,,,13146.415
