SITE_NO,TSITE_NO,SHORT_NAME,RSQA_STUDY,STATION_NM,LB_BasinGIS_km2,LB_DevelopedHigh2011,LB_DevelopedMed2011,LB_DevelopedLow2011,LB_DevelopedOpen2011,LB_BarrenLand2011,LB_DeciduousForest2011,LB_EvergreenForest2011,LB_MixedForest2011,LB_GrasslandHerb2011,LB_ShrubScrub2011,LB_CultivatedCrops2011,LB_PastureHay2011,LB_WoodyWetlands2011,LB_EmerHerbWetlands2011,LB_OpenWater2011,LB_SumAreaNLCD2011,LB_Canopy2011,LB_Imperviousness2001,LB_Imperviousness2006,LB_Imperviousness2011,LB_Dev_CommServices2012,LB_Dev_IndusMilitary2012,LB_Dev_MajorTransp2012,LB_Dev_Other2012,LB_Dev_Recreation2012,LB_Dev_ResidHigh2012,LB_Dev_ResidLowMed2012,LB_SemiDev_AnthroOth2012,LB_SemiDev_UrbHigh2012,LB_SemiDev_UrbLowMed2012,LB_Prod_Crops2012,LB_Prod_GrazingPot2012,LB_Prod_Mining2012,LB_Prod_PastureHay2012,LB_LowUse2012,LB_VeryLowUse_Conserv2012,LB_Water2012,LB_Wetlands2012,LB_SumAreaNWALT2012,LB_Dense_Urban,LB_Total_Urban,LB_CSQA_Total_Urban,LB_Extended_Urban,LB_Crops,LB_Total_Ag,LB_Total_Developed,LB_Total_Low_Use,LB_LU_cat_calc,LB_LU_cat,LB_Major_LU,LB_GolfCourseArea,LB_UrbanAge_mean,LB_UrbanAge_PCT_1940,LB_UrbanAge_PCT_1950,LB_UrbanAge_PCT_1960,LB_UrbanAge_PCT_1970,LB_UrbanAge_PCT_1980,LB_UrbanAge_PCT_1990,LB_UrbanAge_PCT_2000,LB_UrbanAge_PCT_2010,LB_UrbanAge_PCT_NonUrban,LB_UrbanAge_SUM_AREA,LB_DamDensity2016,LB_DamMajDensity2016,LB_DamNIDstorage2016,LB_DamNORMALstorage2016,LB_DamNumMajDams2016,LB_NumDams2016,LB_BaseFlowIndex,LB_DunneOverlandFlow,LB_HortonOverlandFlow,LB_IndexSubsFlowContact,LB_TopogWetnessIndex,LB_Runoff2016,LB_Runoff2017,LB_Stream_Ephemeral,LB_Stream_Intermittent,LB_Stream_Perennial,LB_Stream_StreamRiver,LB_StreamDensity,LB_N_AtmosphDepos2016,LB_N_AtmosphDepos2017,LB_N_FertFarm2012,LB_N_FertNonFarm2012,LB_N_Manure2012,LB_N_NPDES_2012,LB_NumFacilities2012,LB_NumMajorFacilities2012,LB_P_FertFarm2012,LB_P_FertNonFarm2012,LB_P_Manure2012,LB_P_NPDES_2012,LB_Total_N,LB_Total_P,LB_AdjHouseIncome_mean,LB_HousingDensity2000,LB_HousingDensity2010,LB_PopDensity1990,LB_PopDensity2000,LB_PopDensity2010,LB_RoadDensity2016,LB_RoadDensity2017,LB_DepthToWaterTable,LB_AvailWaterCapacity,LB_BulkDensity,LB_KfactorUpperHorizon,LB_OrganicMatter,LB_Permeability,LB_SandContent,LB_SiltContent,LB_ClayContent,LB_RainfallErosivity,LB_SoilLoss_Afactor,LB_SoilThickness,LB_SRL25Agland,LB_Elev_MeanWatershed,LB_Slope,LB_TRI_NumOfChems2010,LB_TRI_NumOfFacil,LB_TRI_NumOfSuperFund,LB_TRI_SumLbs2010
11153650,T11153650,CA_LlagasGilroy,CSQA,LLAGAS C NR GILROY,13.965,13.49,25.56,12.83,10.90,0.00,0.00,0.00,0.00,0.40,0.06,36.55,0.18,0.03,0.00,0.00,13960001.96,3.01,29.25,32.84,33.74,21.14,7.03,7.08,3.40,0.54,17.67,0.77,0.00,0.31,0.05,40.25,0.00,0.00,1.31,0.44,0.00,0.00,0.00,13978800,35.26,57.94,57.64,58.00,40.25,41.57,99.56,0.44,Mixed,Mixed,Mixed,,1942,22.64,1.22,7.23,0.00,1.65,0.00,0.00,0.00,67.26,13960000,,,,,,,28.416,1.000,8.290,384.040,8.923,21.600,144.500,27.21,6.35,0.00,0.00,0.011,1.159,15.280,248947.198,4086.437,47071.209,,,,25222.148,100.682,13761.975,,23018.157,2798.820,25.695,280.065,302.893,925.057,1058.347,1066.125,,9.098,5.240,0.147,1.416,0.303,0.520,0.565,24.13,44.38,31.50,432.448,0.040,59.366,54.510,58.524,0.008,1,6,,0.760
11159000,T11159000,CA_PajaroChit,CSQA,PAJARO R A CHITTENDEN CA,44.566,0.15,1.18,2.18,7.33,0.12,0.00,3.02,21.62,46.59,11.52,4.27,0.07,1.50,0.36,0.09,44548353.35,22.68,1.95,2.01,2.04,0.59,0.06,2.21,2.52,0.00,0.00,0.00,0.00,0.00,0.00,4.91,0.58,0.04,0.42,88.57,0.00,0.10,0.00,44557200,2.86,5.38,5.38,5.38,4.91,5.91,11.30,88.66,Urban_low,Mixed,Mixed,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,44550000,,,,,,,27.126,1.013,4.074,147.389,8.816,21.454,143.721,56.54,8.84,17.01,0.00,0.015,1.077,14.158,20585.278,394.668,17625.376,,,,2085.601,9.713,4297.474,,2282.051,143.446,64.598,5.271,5.368,11.851,15.687,13.245,,2.876,5.990,0.148,1.372,0.275,0.523,1.020,29.41,40.56,30.03,450.296,0.599,43.987,6.529,135.941,0.243,,,,
11159200,T11159200,CA_Corralitos,CSQA,CORRALITOS C A FREEDOM CA,8.075,1.68,9.39,14.24,26.33,0.00,0.00,0.37,1.98,4.78,2.00,37.71,0.48,0.26,0.72,0.06,8072538.53,14.69,13.58,14.04,14.60,4.75,0.00,0.00,6.35,0.00,1.78,36.12,0.00,0.67,8.40,38.78,0.00,0.00,1.51,1.60,0.00,0.04,0.00,8103600,4.75,49.67,49.00,58.06,38.78,40.29,98.36,1.64,Mixed,Mixed,Mixed,,1973,15.99,1.60,0.00,0.00,47.72,0.00,0.00,18.70,15.99,8130000,,,,,,,33.049,1.239,7.703,436.285,10.005,21.600,144.500,38.85,0.00,57.05,0.00,0.014,1.529,17.988,447541.963,1009.718,13318.091,,,,45342.893,24.881,3125.511,,58994.883,6005.214,47.170,95.070,116.847,271.707,288.351,341.440,,4.855,5.891,0.142,1.449,0.293,0.661,1.421,36.66,39.00,24.34,676.690,0.631,59.513,0.000,55.078,0.045,,,,
11159500,T11159500,CA_PajaroWat,CSQA,PAJARO R A WATSONVILLE CA,20.609,1.70,6.96,10.16,13.49,0.00,0.03,0.91,0.20,4.44,0.35,56.95,0.21,0.28,1.95,2.37,20586323.16,4.15,9.60,9.82,10.38,3.73,0.02,1.14,5.05,0.38,2.90,11.32,0.00,5.04,2.19,62.17,0.59,0.00,2.27,0.91,0.00,2.29,0.00,20584800,4.88,29.57,24.54,31.76,62.17,65.04,96.80,3.20,Mixed,Mixed,Mixed,,1955,5.60,9.00,0.54,15.57,3.07,0.00,0.00,0.00,66.23,20550000,,,,,,,31.653,1.686,4.201,265.723,9.326,21.600,144.500,29.18,11.17,28.79,0.00,0.015,1.340,16.311,1444370.181,1476.907,47169.320,,,,146336.937,36.393,11144.987,,74076.396,7643.228,48.874,77.649,91.228,236.789,261.237,331.253,,5.007,5.778,0.142,1.446,0.298,0.692,1.247,35.52,39.32,25.16,606.821,0.354,58.714,8.716,21.131,0.024,,,,
11164500,T11164500,CA_SanFranStan,CSQA,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA,22.055,0.64,4.16,8.49,34.59,0.00,0.00,2.02,14.59,27.12,4.41,1.09,0.00,1.84,0.45,0.60,22050539.46,29.03,7.75,7.78,8.06,5.87,0.11,4.28,6.63,1.94,0.36,25.57,0.00,30.21,0.00,1.13,0.00,0.00,0.02,22.55,0.00,0.60,0.74,22035600,10.26,74.97,44.76,74.97,1.13,1.14,76.12,23.88,Urban_med,Urban_med,Urban,0.237,1952,0.45,12.52,26.27,0.00,0.00,0.00,0.00,0.00,60.75,22040000,9.068,9.068,103.579,103.579,2.000,2.000,22.504,0.447,4.728,570.487,10.137,69.562,387.825,45.54,40.91,0.21,0.00,0.016,1.866,15.208,5233.650,6156.283,2376.056,,,,530.246,151.662,572.012,,2144.942,56.855,120.601,57.319,61.182,145.079,150.908,151.073,,9.286,4.795,0.157,1.400,0.338,0.576,0.660,25.49,42.56,31.95,513.184,0.878,39.082,3.185,124.967,0.134,,,,
11169025,T11169025,CA_GuadalupeA,CSQA,GUADALUPE R ABV HWY 101 A SAN JOSE CA,18.178,29.95,44.34,18.87,6.74,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.00,0.04,0.00,0.00,18170861.24,2.02,61.20,62.46,63.03,26.31,8.62,31.54,0.20,8.48,24.53,0.22,0.00,0.08,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18169200,66.48,99.98,99.90,99.98,0.02,0.02,100.00,0.00,Urban_high,Urban_high,Urban,,1935,45.49,0.83,0.00,0.00,0.00,0.00,0.00,0.00,53.68,18090000,,,,,,,32.757,0.122,14.653,3677.570,11.149,69.600,389.900,0.00,37.80,0.00,0.00,0.003,0.964,9.341,307.234,7496.404,58.092,,,,31.127,184.697,16.984,,1366.610,12.807,52.846,553.923,677.489,1357.108,1436.423,1670.616,,23.088,4.800,0.171,1.379,0.320,0.474,0.400,32.07,39.36,28.57,238.386,0.005,45.000,0.000,21.949,0.013,9,16,,2200.596
11169800,T11169800,CA_CoyoteGil,CSQA,COYOTE C NR GILROY CA,42.859,0.00,0.01,0.07,1.72,0.00,0.00,1.95,60.85,16.91,17.73,0.37,0.00,0.25,0.12,0.04,42829451.61,42.03,0.08,0.08,0.08,0.00,0.00,0.00,0.10,0.08,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,99.40,0.00,0.03,0.00,42876000,0.00,0.18,0.18,0.18,0.39,0.39,0.57,99.43,Undeveloped,Undeveloped,Undeveloped,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,42800000,,,,,,,30.126,1.006,1.000,12.156,7.286,69.141,387.554,61.62,4.04,33.27,0.00,0.015,1.213,16.480,7724.737,451.866,1460.602,,,,782.634,11.133,427.029,,1872.864,28.484,67.861,0.314,0.793,0.812,0.927,1.980,,0.490,5.949,0.141,1.473,0.302,0.652,2.168,29.84,45.06,25.10,592.657,1.227,23.814,0.000,469.471,0.386,,,,
11176900,T11176900,CA_ArroyoDeLaLa,CSQA,ARROYO DE LA LAGUNA A VERONA CA,35.692,1.17,17.35,13.67,16.80,0.05,0.00,0.13,18.46,31.75,0.35,0.05,0.00,0.01,0.17,0.05,35688359.84,17.95,16.22,17.18,17.70,6.53,0.52,3.26,3.27,6.11,15.70,11.63,0.00,14.20,7.70,0.06,1.20,0.00,0.00,29.78,0.00,0.04,0.00,35712000,10.31,61.22,47.02,68.92,0.06,1.26,70.18,29.82,Urban_med,Urban_med,Urban,1.088,1963,15.98,8.59,4.59,6.80,12.99,0.70,0.00,10.80,39.55,35730000,,,,,,,26.553,0.000,1.999,575.202,9.968,68.100,308.200,70.21,17.16,3.41,0.00,0.014,1.963,15.334,460.858,11056.912,516.033,,,,46.692,272.423,123.620,,1870.591,12.404,106.689,240.135,279.552,483.822,628.185,732.138,,6.434,5.917,0.138,1.441,0.252,0.824,1.666,28.74,41.89,29.36,283.251,0.155,53.672,0.000,172.894,0.156,2,3,,251.000
11179100,T11179100,CA_Alameda,CSQA,ALAMEDA C NR FREMONT CA,13.479,1.61,19.70,15.91,8.03,0.00,0.00,1.04,12.85,33.70,1.18,0.00,0.00,0.10,0.00,5.89,13477629.54,12.58,19.87,20.01,20.07,6.00,0.51,6.19,1.45,4.37,21.67,3.86,0.00,28.98,7.74,0.00,0.00,0.00,0.00,13.15,0.00,6.08,0.03,13442400,12.69,73.00,44.03,80.74,0.00,0.00,80.74,19.26,Urban_med,Urban_med,Urban,,1937,29.44,3.42,0.00,1.41,0.00,0.00,0.00,0.00,65.72,13450000,22.257,0.000,87.852,87.852,0.000,3.000,23.039,0.000,3.552,130.320,8.730,68.267,317.271,40.97,9.36,0.22,0.00,0.013,1.770,13.406,0.000,3806.449,0.000,,,,0.000,93.784,0.000,,1622.959,6.958,67.468,353.226,411.445,824.181,906.416,1026.902,,16.940,5.940,0.144,1.447,0.342,1.429,0.963,24.44,47.50,28.07,295.521,0.408,36.576,-9999.000,103.625,0.195,0,1,,0.000
11180900,T11180900,CA_Crow,CSQA,CROW C NR HAYWARD CA,10.607,0.08,3.72,7.13,11.87,0.00,0.00,2.69,40.81,32.21,1.33,0.00,0.00,0.17,0.00,0.00,10590594.58,35.53,5.50,5.58,5.61,0.95,0.44,2.28,1.05,0.27,5.20,11.72,0.00,22.35,30.77,0.00,0.00,0.00,0.00,24.90,0.00,0.00,0.07,10598400,3.67,44.26,21.91,75.03,0.00,0.00,75.03,24.97,Urban_low,Urban_low,Urban,,1954,2.15,0.00,48.69,0.00,0.00,0.00,0.00,0.00,49.16,10680000,,,,,,,25.727,0.542,5.354,141.987,8.598,68.100,308.200,50.30,0.00,48.16,0.00,0.016,2.677,19.250,0.000,1574.640,0.000,,,,0.000,38.796,0.000,,2073.439,3.658,86.058,71.296,114.404,156.221,192.370,302.355,,3.043,6.000,0.140,1.465,0.309,1.813,1.273,25.82,45.94,28.24,404.370,0.642,25.319,-9999.000,215.268,0.311,,,,
11181000,T11181000,CA_SanLorenzo,CSQA,SAN LORENZO C A HAYWARD CA,24.369,1.23,12.47,12.50,19.92,0.00,0.00,5.02,28.83,17.53,1.92,0.08,0.00,0.13,0.00,0.37,24365207.14,33.06,14.14,14.28,14.33,2.84,0.18,3.95,2.60,3.84,12.63,17.12,0.00,29.51,3.22,0.09,0.00,0.00,0.00,23.61,0.00,0.40,0.01,24364800,6.96,72.67,43.16,75.89,0.09,0.09,75.98,24.02,Urban_med,Urban_med,Urban,,1960,10.33,4.69,32.67,0.00,0.00,19.55,0.00,0.00,32.76,24300000,8.207,8.207,34.926,34.926,2.000,2.000,24.277,0.026,8.987,1135.864,9.614,68.100,308.200,46.32,0.41,45.65,0.00,0.018,2.440,17.368,506.944,7043.857,567.637,,,,51.361,173.548,135.982,,2069.974,14.810,100.532,221.477,232.017,440.158,629.303,652.774,,7.194,5.994,0.141,1.465,0.309,1.801,1.265,25.85,45.85,28.31,402.847,0.505,25.618,0.000,171.117,0.281,,,,
