"SITE_NO","RSQA_STUDY","RSQA_STUDY_DESC","STATION_NM","LAT_VA","LONG_VA","DEC_LAT_VA","DEC_LONG_VA","COORD_METH_DESC","COORD_ACY_DESC","COORD_DATUM_CD","COUNTY_NM","STATE_NM","STATE_ABBREV"
"11466320       ","CSQA","California Stream-Quality Assessment","SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA"," 382643    "," 1224822    ","38.4451902615927","-122.807212855113","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Sonoma County","California","CA"
"02087580       ","SESQA","Southeast Stream-Quality Assessment","SWIFT CREEK NEAR APEX, NC"," 354308    "," 0784508    ","35.7188888888889","-78.7522222222222","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Wake County","North Carolina","NC"
"02146470       ","SESQA","Southeast Stream-Quality Assessment","LITTLE HOPE CR AT SENECA PLACE AT CHARLOTTE, NC"," 350952    "," 0805111    ","35.1644444444444","-80.8530555555556","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Mecklenburg County","North Carolina","NC"
"01208869       ","NESQA","Northeast Stream-Quality Assessment","Rooster River near Fairfield, CT"," 411119    "," 0731318    ","41.1887077229293","-73.2212246195758","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Fairfield County","Connecticut","CT"
"06893350       ","MSQA","Midwest Stream-Quality Assessment","TOMAHAWK C NR OVERLAND PARK, KS"," 385422    "," 0943824    ","38.9061111111111","-94.64","Interpolated from map","Accurate to +/- 1 minute","NAD83     ","Johnson County","Kansas","KS"
"01193500       ","NESQA","Northeast Stream-Quality Assessment","SALMON RIVER NEAR EAST HAMPTON, CT"," 413308    "," 0722659    ","41.5523212436629","-72.4492528732144","Interpolated from map","Unknown","NAD27     ","Middlesex County","Connecticut","CT"
"11466800       ","CSQA","California Stream-Quality Assessment","MARK WEST C NR MIRABEL HEIGHTS CA"," 382939    "," 1225108    ","38.4940783784242","-122.853325788863","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Sonoma County","California","CA"
"383039122502401","CSQA","California Stream-Quality Assessment","WINDSOR C A MARK WEST STATION RD NR WINDSOR CA"," 383039.34 "," 1225024.39 ","38.5109277777778","-122.840108333333","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"11466170       ","CSQA","California Stream-Quality Assessment","MATANZAS C A SANTA ROSA CA"," 382620    "," 1224205    ","38.4388007283927","-122.702486704192","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Sonoma County","California","CA"
"11465350       ","CSQA","California Stream-Quality Assessment","DRY C NR MOUTH NR HEALDSBURG CA"," 383515    "," 1225140    ","38.5874104563475","-122.862215921667","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Sonoma County","California","CA"
"383719122462501","CSQA","California Stream-Quality Assessment","MAACAMA C A CHALK HILL RD BR NR HEALDSBURG CA"," 383719.05 "," 1224625.28 ","38.6219583333333","-122.773688888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"391308091550901","MSQA","Midwest Stream-Quality Assessment","Skull Lick Creek nr Mexico, MO"," 391307.90 "," 0915508.6  ","39.2188611111111","-91.9190555555556","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Audrain County","Missouri","MO"
"420626089101201","MSQA","Midwest Stream-Quality Assessment","STILLMAN CREEK AT STILLMAN VALLEY, IL"," 420626    "," 0891012    ","42.1072222222222","-89.17","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Ogle County","Illinois","IL"
"391443091534001","MSQA","Midwest Stream-Quality Assessment","Fish Branch near Mexico, MO"," 391443.32 "," 0915340.28 ","39.2453666666667","-91.8945222222222","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Audrain County","Missouri","MO"
"0209722970     ","SESQA","Southeast Stream-Quality Assessment","SANDY CREEK AT CORNWALLIS RD NEAR DURHAM, NC"," 355859.6  "," 0785724.5  ","35.9832222222222","-78.9568055555556","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Durham County","North Carolina","NC"
"0212467595     ","SESQA","Southeast Stream-Quality Assessment","GOOSE CREEK AT SR1525 NR INDIAN TRAIL, NC"," 350730    "," 0803610    ","35.125","-80.6027777777778","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Union County","North Carolina","NC"
"040852508      ","MSQA","Midwest Stream-Quality Assessment","TISCH MILLS CREEK AT TISCH MILLS, WI"," 441939.14 "," 0873812.30 ","44.3275388888889","-87.63675","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Kewaunee County","Wisconsin","WI"
"02408540       ","SESQA","Southeast Stream-Quality Assessment","HATCHET CREEK BELOW ROCKFORD AL"," 325500    "," 0861613    ","32.9167896164771","-86.2702507251468","Interpolated from map","Unknown","NAD27     ","Coosa County","Alabama","AL"
"12080800       ","PNSQA","Pacific Northwest Stream-Quality Assessment","WOODLAND CREEK BELOW DRAHAM ROAD NEAR LACEY, WA"," 470349    "," 1224826    ","47.0634295781528","-122.808468704465","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Thurston County","Washington","WA"
"11176900       ","CSQA","California Stream-Quality Assessment","ARROYO DE LA LAGUNA A VERONA CA"," 373736    "," 1215255    ","37.6265991482216","-121.883012556168","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Alameda County","California","CA"
"365955121350601","CSQA","California Stream-Quality Assessment","UVAS C A MILLER AVE A GILROY CA"," 365954.72 "," 1213505.85 ","36.9985333333333","-121.584958333333","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"0214627970     ","SESQA","Southeast Stream-Quality Assessment","STEWART CREEK AT STATE ST AT CHARLOTTE, NC"," 351425    "," 0805206    ","35.2402777777778","-80.8683333333333","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 5 seconds","NAD83     ","Mecklenburg County","North Carolina","NC"
"05325148       ","MSQA","Midwest Stream-Quality Assessment","SEVENMILE CK BLW FOOTBRIDGE IN PARK NR KASOTA, MN"," 441543.8  "," 0940144.5  ","44.2621666666667","-94.0290277777778","Interpolated from Digital Map","Accurate to +/- .1 second (differentially corrected GPS)","NAD83     ","Nicollet County","Minnesota","MN"
"05481820       ","MSQA","Midwest Stream-Quality Assessment","Beaver Creek at Bouton, IA"," 415057.3  "," 0940141.8  ","41.84925","-94.0282777777778","Interpolated from Digital Map","Accurate to +/- .1 second (differentially corrected GPS)","NAD83     ","Dallas County","Iowa","IA"
"394306095484300","MSQA","Midwest Stream-Quality Assessment","MUDDY C AT 145TH ST NR WETMORE, KS"," 394306.06 "," 0954842.56 ","39.71835","-95.8118222222222","Interpolated from Digital Map","Accurate to +/- .5 second (Precise Positioning Service (PLGR/PPS GPS))","NAD83     ","Nemaha County","Kansas","KS"
"401849087161401","MSQA","Midwest Stream-Quality Assessment","BIG PINE CR AT CO RD N125E NR WILLIAMSPORT, IN"," 401902.78 "," 0871730.34 ","40.3174388888889","-87.2917611111111","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Warren County","Indiana","IN"
"472131122072500","PNSQA","Pacific Northwest Stream-Quality Assessment","LITTLE SOOS CREEK ABV MOUTH NR MAPLE VALLEY"," 472131    "," 1220725    ","47.3584340406693","-122.124840071677","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","King County","Washington","WA"
"370512121361901","CSQA","California Stream-Quality Assessment","LLAGAS C A SAN MARTIN AVE A SAN MARTIN CA"," 370512.27 "," 1213618.74 ","37.0867416666667","-121.605205555556","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"05592195       ","MSQA","Midwest Stream-Quality Assessment","BECK CREEK AT HERRICK, IL"," 391256    "," 0890114    ","39.2155555555556","-89.0205555555556","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Fayette County","Illinois","IL"
"01095220       ","NESQA","Northeast Stream-Quality Assessment","STILLWATER RIVER NEAR STERLING, MA"," 422439    "," 0714730    ","42.4109250661112","-71.7911828571609","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Worcester County","Massachusetts","MA"
"01192500       ","NESQA","Northeast Stream-Quality Assessment","HOCKANUM RIVER NEAR EAST HARTFORD, CT"," 414659    "," 0723516    ","41.7831548182598","-72.5873114414758","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Hartford County","Connecticut","CT"
"12145970       ","PNSQA","Pacific Northwest Stream-Quality Assessment","PATTERSON CREEK ABV CANYON CREEK NR FALL CITY, WA"," 473508.23 "," 1215659.32 ","47.5856194444444","-121.949811111111","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"12121504       ","PNSQA","Pacific Northwest Stream-Quality Assessment","E FORK ISSAQUAH CR ABV 3RD AVE NE AT ISSAQUAH, WA"," 473156.76 "," 1220148.61 ","47.5324333333333","-122.030169444444","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"12121570       ","PNSQA","Pacific Northwest Stream-Quality Assessment","NORTH FORK ISSAQUAH CREEK AT ISSAQUAH, WA"," 473234.15 "," 1220205.40 ","47.5428194444444","-122.034833333333","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"0214642825     ","SESQA","Southeast Stream-Quality Assessment","BRIAR CREEK NEAR CHARLOTTE, NC"," 351410    "," 0804616    ","35.2361111111111","-80.7711111111111","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Mecklenburg County","North Carolina","NC"
"05482300       ","MSQA","Midwest Stream-Quality Assessment","North Raccoon River near Sac City, IA"," 422117.1  "," 0945925.2  ","42.35475","-94.9903333333333","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Sac County","Iowa","IA"
"02097517       ","SESQA","Southeast Stream-Quality Assessment","MORGAN CREEK NEAR CHAPEL HILL, NC"," 355336    "," 0790111    ","35.8933333333333","-79.0197222222222","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Orange County","North Carolina","NC"
"0209734440     ","SESQA","Southeast Stream-Quality Assessment","BOLIN CREEK AT VILLAGE DRIVE AT CHAPEL HILL, NC"," 355520.3  "," 0790357.6  ","35.9223055555556","-79.066","Interpolated from Digital Map","Accurate to +/- 10 seconds","NAD83     ","Orange County","North Carolina","NC"
"02415000       ","SESQA","Southeast Stream-Quality Assessment","HILLABEE CREEK NEAR HACKNEYVILLE AL"," 330355    "," 0855241    ","33.0653978578532","-85.878018631826","Interpolated from map","Unknown","NAD27     ","Tallapoosa County","Alabama","AL"
"0212466000     ","SESQA","Southeast Stream-Quality Assessment","CLEAR CREEK AT SR3181 NR MINT HILL, NC"," 351230    "," 0803448    ","35.2083333333333","-80.58","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Mecklenburg County","North Carolina","NC"
"12118525       ","PNSQA","Pacific Northwest Stream-Quality Assessment","TAYLOR CREEK ABV 236th AVE SE AT MAPLE VALLEY, WA"," 472430.17 "," 1220135.47 ","47.4083805555556","-122.026519444444","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"12120600       ","PNSQA","Pacific Northwest Stream-Quality Assessment","ISSAQUAH CREEK NEAR HOBART, WA"," 472727    "," 1220014    ","47.4573236788095","-122.005117005399","Interpolated from map","Accurate to +/- 1 second","NAD27     ","King County","Washington","WA"
"03352875       ","MSQA","Midwest Stream-Quality Assessment","FALL CREEK AT 16TH STREET AT INDIANAPOLIS, IN"," 394719.6  "," 0861038.9  ","39.7887777777778","-86.1774722222222","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- .1 second (differentially corrected GPS)","NAD83     ","Marion County","Indiana","IN"
"05550500       ","MSQA","Midwest Stream-Quality Assessment","POPLAR CREEK AT ELGIN, IL"," 420134    "," 0881520    ","42.0261111111111","-88.2555555555556","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Cook County","Illinois","IL"
"385730088324401","MSQA","Midwest Stream-Quality Assessment","LITTLE WABASH RIVER NEAR MASON, IL"," 385730    "," 0883244    ","38.9583333333333","-88.5455555555556","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Effingham County","Illinois","IL"
"02095181       ","SESQA","Southeast Stream-Quality Assessment","N BUFFALO CR AT WESTOVER TERRACE AT GREENSBORO, NC"," 360445    "," 0794846    ","36.0791666666667","-79.8127777777778","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Guilford County","North Carolina","NC"
"02344620       ","SESQA","Southeast Stream-Quality Assessment","SHOAL CREEK AT GA54, NEAR SHARPSBURG, GA"," 332321    "," 0843729    ","33.3891666666667","-84.6247222222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Coweta County","Georgia","GA"
"05544989       ","MSQA","Midwest Stream-Quality Assessment","HONEY CREEK AT CT HIGHWAY DD NEAR BURLINGTON, WI"," 424310.2  "," 0881834.0  ","42.7195","-88.3094444444444","Interpolated from Digital Map","Accurate to +/- .5 second (Precise Positioning Service (PLGR/PPS GPS))","NAD83     ","Walworth County","Wisconsin","WI"
"05426400       ","MSQA","Midwest Stream-Quality Assessment","SCUPPERNONG RIVER NEAR PALMYRA, WI"," 425310    "," 0883229    ","42.8861111111111","-88.5413888888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Waukesha County","Wisconsin","WI"
"374708122132801","CSQA","California Stream-Quality Assessment","SAUSAL C A OAKLAND CA"," 374708.45 "," 1221327.62 ","37.7856805555556","-122.224338888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Alameda County","California","CA"
"12113205       ","PNSQA","Pacific Northwest Stream-Quality Assessment","MILL CREEK AT PEASLEY CANYON RD S NR AUBURN, WA"," 471811.76 "," 1221553.60 ","47.3032666666667","-122.264888888889","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"12113347       ","PNSQA","Pacific Northwest Stream-Quality Assessment","MILL CREEK AT EARTHWORKS PARK AT KENT, WA"," 472300    "," 1221325    ","47.3831557705086","-122.224842912836","Interpolated from map","Accurate to +/- 1 second","NAD27     ","King County","Washington","WA"
"12027555       ","PNSQA","Pacific Northwest Stream-Quality Assessment","PRAIRIE CR 0.7 MI UPS FR MOUTH NR GRAND MOUND, WA"," 464732.58 "," 1230204.16 ","46.7923833333333","-123.034488888889","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Thurston County","Washington","WA"
"02335580       ","SESQA","Southeast Stream-Quality Assessment","BIG CREEK AT GA 9, NEAR CUMMING, GA"," 340921    "," 0841307    ","34.1559304505301","-84.2185305249017","Interpolated from map","Unknown","NAD27     ","Forsyth County","Georgia","GA"
"394151094531501","MSQA","Midwest Stream-Quality Assessment","Contrary Creek nr St. Joseph, MO"," 394151.2  "," 0945315.1  ","39.6975555555556","-94.8875277777778","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Buchanan County","Missouri","MO"
"01121000       ","NESQA","Northeast Stream-Quality Assessment","MOUNT HOPE RIVER NEAR WARRENVILLE, CT"," 415037    "," 0721010    ","41.8437089101554","-72.1689661695906","Interpolated from map","Unknown","NAD27     ","Windham County","Connecticut","CT"
"01174565       ","NESQA","Northeast Stream-Quality Assessment","WEST BRANCH SWIFT RIVER NEAR SHUTESBURY, MA"," 422718    "," 0722256    ","42.4550890589821","-72.3817516116226","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Franklin County","Massachusetts","MA"
"391815009203901","MSQA","Midwest Stream-Quality Assessment","Goodwater Creek nr Centralia, MO"," 391815.43 "," 0920308.61 ","39.3042861111111","-92.0523916666667","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Audrain County","Missouri","MO"
"400502091403401","MSQA","Midwest Stream-Quality Assessment","North Fabius River nr Monticello, MO"," 400501.52 "," 0914033.58 ","40.0837555555556","-91.6759944444445","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Lewis County","Missouri","MO"
"391601087414801","MSQA","Midwest Stream-Quality Assessment","MILL CREEK NEAR CHOCTAW, IL"," 391601    "," 0874148    ","39.2669444444444","-87.6966666666667","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Clark County","Illinois","IL"
"12102212       ","PNSQA","Pacific Northwest Stream-Quality Assessment","SWAN CREEK AT PIONEER WAY TACOMA, WA"," 471343    "," 1222326    ","47.2284329231625","-122.391789149734","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Pierce County","Washington","WA"
"374336122095801","CSQA","California Stream-Quality Assessment","SAN LEANDRO C A ALVARADO ST A SAN LEANDRO CA"," 374335.79 "," 1220958.24 ","37.7266083333333","-122.166177777778","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Alameda County","California","CA"
"11180900       ","CSQA","California Stream-Quality Assessment","CROW C NR HAYWARD CA"," 374218    "," 1220234    ","37.7049300770073","-122.043850807461","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Alameda County","California","CA"
"11460000       ","CSQA","California Stream-Quality Assessment","CORTE MADERA C A ROSS CA"," 375747    "," 1223321    ","37.9629794738688","-122.556922092372","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Marin County","California","CA"
"040857005      ","MSQA","Midwest Stream-Quality Assessment","OTTER CREEK AT WILLOW ROAD NEAR PLYMOUTH, WI"," 434720    "," 0875517    ","43.7888888888889","-87.9213888888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sheboygan County","Wisconsin","WI"
"02336120       ","SESQA","Southeast Stream-Quality Assessment","N.F. PEACHTREE CREEK, BUFORD HWY, NEAR ATLANTA, GA"," 334953    "," 0842034    ","33.8314930701072","-84.3427030198388","Interpolated from map","Accurate to +/- 1 second","NAD27     ","DeKalb County","Georgia","GA"
"06804000       ","MSQA","Midwest Stream-Quality Assessment","Wahoo Creek at Ithaca, Nebr."," 410851    "," 0963216    ","41.1475","-96.5377777777778","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Saunders County","Nebraska","NE"
"03455500       ","SESQA","Southeast Stream-Quality Assessment","W F PIGEON R ABOVE LAKE LOGAN NR HAZELWOOD, NC"," 352346    "," 0825615    ","35.3961111111111","-82.9375","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Haywood County","North Carolina","NC"
"393358096130000","MSQA","Midwest Stream-Quality Assessment","FRENCH C AT PARALLEL RD, ONAGA, KS"," 393358.00 "," 0961300.07 ","39.5661111111111","-96.2166861111111","Interpolated from Digital Map","Accurate to +/- .5 second (Precise Positioning Service (PLGR/PPS GPS))","NAD83     ","Pottawatomie County","Kansas","KS"
